[2019-08-08 17:30:07] Debug: [] [0] memory total: 835472   app used: 35756
[2019-08-08 17:30:08] Debug: [] [0] memory total: 835472   app used: 35924
[2019-08-08 17:30:09] Debug: [] [0] memory total: 835472   app used: 35924
[2019-08-08 17:30:10] Debug: [] [0] memory total: 835472   app used: 36708
[2019-08-08 17:30:11] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:12] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:13] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:14] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:15] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:16] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:17] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:18] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:19] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:20] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:21] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:22] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:23] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:24] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:25] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:26] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:27] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:28] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:29] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:30] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:31] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:32] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:33] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:34] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:35] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:36] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:37] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:38] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:39] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:40] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:41] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:42] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:43] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:44] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:45] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:46] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:47] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:48] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:49] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:50] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:51] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:52] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:53] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:54] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:55] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:56] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:57] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:58] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:30:59] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:31:00] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:31:01] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:31:02] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:31:03] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:31:04] Debug: [] [0] memory total: 835472   app used: 36716
[2019-08-08 17:31:05] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:06] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:07] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:08] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:09] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:10] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:11] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:12] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:13] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:14] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:15] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:16] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:17] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:18] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:19] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:20] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:21] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:22] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:23] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:24] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:25] Debug: [] [0] memory total: 835472   app used: 36660
[2019-08-08 17:31:26] Debug: [] [0] memory total: 835472   app used: 36660
